,device_contact_id,unit_location_x,unit_location_y,mouse,shank_id,Mouse,coord_SCs_z,coord_SCs_y,coord_SCs_x,coord_CCFs_z,coord_CCFs_y,coord_CCFs_x,brain_region
136,s0e88,0.0,660.0,20,0,M20,4158.003258919314,3695.3096262711515,-3150.0,9883.689648351861,3979.5628888379742,2550.0,ENTm1
137,s0e89,32.0,660.0,20,0,M20,4158.003258919314,3695.3096262711515,-3150.0,9883.689648351861,3979.5628888379742,2550.0,ENTm1
138,s0e90,0.0,675.0,20,0,M20,4159.551392313131,3680.389730728791,-3150.0,9883.85298739003,3963.6731095691357,2550.0,ENTm1
139,s0e91,32.0,675.0,20,0,M20,4159.551392313131,3680.389730728791,-3150.0,9883.85298739003,3963.6731095691357,2550.0,ENTm1
140,s0e92,0.0,690.0,20,0,M20,4161.099525706948,3665.469835186431,-3150.0,9884.016326428202,3947.783330300298,2550.0,ENTm1
141,s0e93,32.0,690.0,20,0,M20,4161.099525706948,3665.469835186431,-3150.0,9884.016326428202,3947.783330300298,2550.0,ENTm1
142,s0e94,0.0,705.0,20,0,M20,4162.647659100765,3650.54993964407,-3150.0,9884.17966546637,3931.893551031459,2550.0,ENTm1
143,s0e95,32.0,705.0,20,0,M20,4162.647659100765,3650.54993964407,-3150.0,9884.17966546637,3931.893551031459,2550.0,ENTm1
144,s0e336,0.0,2520.0,20,0,M20,4349.971799752617,1845.2425790184489,-3150.0,9903.943689084961,2009.230259502035,2550.0,VISp5
145,s0e337,32.0,2520.0,20,0,M20,4349.971799752617,1845.2425790184489,-3150.0,9903.943689084961,2009.230259502035,2550.0,VISp5
146,s0e338,0.0,2535.0,20,0,M20,4351.519933146434,1830.3226834760885,-3150.0,9904.107028123133,1993.340480233197,2550.0,VISp5
147,s0e339,32.0,2535.0,20,0,M20,4351.519933146434,1830.3226834760885,-3150.0,9904.107028123133,1993.340480233197,2550.0,VISp5
148,s0e340,0.0,2550.0,20,0,M20,4353.068066540251,1815.4027879337282,-3150.0,9904.270367161302,1977.450700964359,2550.0,VISp5
149,s0e341,32.0,2550.0,20,0,M20,4353.068066540251,1815.4027879337282,-3150.0,9904.270367161302,1977.450700964359,2550.0,VISp5
150,s0e342,0.0,2565.0,20,0,M20,4354.616199934068,1800.4828923913674,-3150.0,9904.433706199474,1961.5609216955204,2550.0,VISp5
151,s0e343,32.0,2565.0,20,0,M20,4354.616199934068,1800.4828923913674,-3150.0,9904.433706199474,1961.5609216955204,2550.0,VISp5
152,s0e344,0.0,2580.0,20,0,M20,4356.164333327885,1785.562996849007,-3150.0,9904.597045237642,1945.6711424266823,2550.0,VISp5
153,s0e345,32.0,2580.0,20,0,M20,4356.164333327885,1785.562996849007,-3150.0,9904.597045237642,1945.6711424266823,2550.0,VISp5
154,s0e346,0.0,2595.0,20,0,M20,4357.712466721702,1770.6431013066467,-3150.0,9904.760384275814,1929.7813631578442,2550.0,VISp5
155,s0e347,32.0,2595.0,20,0,M20,4357.712466721702,1770.6431013066467,-3150.0,9904.760384275814,1929.7813631578442,2550.0,VISp5
156,s0e348,0.0,2610.0,20,0,M20,4359.260600115519,1755.723205764286,-3150.0,9904.923723313983,1913.8915838890057,2550.0,VISp4
157,s0e349,32.0,2610.0,20,0,M20,4359.260600115519,1755.723205764286,-3150.0,9904.923723313983,1913.8915838890057,2550.0,VISp4
158,s0e350,0.0,2625.0,20,0,M20,4360.808733509336,1740.8033102219256,-3150.0,9905.087062352153,1898.0018046201676,2550.0,VISp4
159,s0e351,32.0,2625.0,20,0,M20,4360.808733509336,1740.8033102219256,-3150.0,9905.087062352153,1898.0018046201676,2550.0,VISp4
160,s0e352,0.0,2640.0,20,0,M20,4362.356866903153,1725.8834146795652,-3150.0,9905.250401390324,1882.11202535133,2550.0,VISp4
161,s0e353,32.0,2640.0,20,0,M20,4362.356866903153,1725.8834146795652,-3150.0,9905.250401390324,1882.11202535133,2550.0,VISp4
